supplier_id,quarter,supplier_tier,defect_rate_pct,on_time_delivery_pct,team_size,audit_score
SUP001,Q1-2022,Tier 1,0.0,94.2,12,61
SUP001,Q2-2022,Tier 1,0.0,96.8,12,68
SUP001,Q3-2022,tier 1,0.0,95.8,12,84
SUP001,Q4-2022,tier-1,0.0,83.2,12,67
SUP001,Q1-2023,tier 1,0.0,96.4,12,89
SUP001,Q2-2023,tier 1,0.0,83.1,12,73
SUP001,Q3-2023,tier 1,0.0,96.6,12,60
SUP001,Q4-2023,Tier 1,0.0,89.1,12,91
SUP002,Q1-2022,tier-3,0.0,80.6,12,81
SUP002,Q2-2022,tier-3,0.0,98.0,12,65
SUP002,Q3-2022,Tier 3,0.0,83.3,12,66
SUP002,Q1-2023,Tier 3,0.0,84.8,12,96
SUP002,Q2-2023,T3,0.0,89.2,12,84
SUP002,Q3-2023,tier-3,0.0,95.2,12,92
SUP002,Q4-2023,T3,0.0,97.3,12,89
SUP003,Q2-2022,T1,0.0,91.1,18,73
SUP003,Q3-2022,T1,0.0,82.5,18,68
SUP003,Q4-2022,T1,0.0,78.0,18,96
SUP003,Q1-2023,tier 1,0.0,79.3,18,75
SUP003,Q2-2023,T1,0.0,91.3,18,78
SUP003,Q3-2023,tier 1,0.0,84.7,18,76
SUP003,Q4-2023,T1,0.0,90.6,18,89
SUP004,Q1-2022,tier 2,0.0,81.7,6,78
SUP004,Q2-2022,T2,0.0,78.8,6,99
SUP004,Q3-2022,Tier 2,0.0,98.8,6,77
SUP004,Q4-2022,tier 2,0.0,84.4,6,74
SUP004,Q1-2023,Tier 2,0.0,86.5,6,97
SUP004,Q2-2023,Tier 2,0.0,88.7,6,89
SUP004,Q3-2023,Tier 2,0.0,85.2,6,96
SUP004,Q4-2023,Tier 2,0.0,80.6,6,93
SUP005,Q1-2022,T1,0.0,91.9,6,72
SUP005,Q2-2022,tier 1,0.0,94.3,6,60
SUP005,Q3-2022,tier 1,0.0,92.0,6,66
SUP005,Q4-2022,tier 1,0.0,84.0,6,65
SUP005,Q1-2023,T1,0.0,82.3,6,98
SUP005,Q2-2023,tier 1,0.0,90.8,6,81
SUP005,Q3-2023,Tier 1,0.0,84.7,6,88
SUP005,Q4-2023,T1,0.0,78.5,6,99
SUP006,Q1-2022,Tier 2,0.0,87.3,15,76
SUP006,Q2-2022,tier 2,0.0,84.8,15,94
SUP006,Q3-2022,tier-2,0.0,85.0,15,81
SUP006,Q4-2022,tier 2,0.0,97.4,15,72
SUP006,Q1-2023,tier-2,0.0,94.1,15,93
SUP006,Q2-2023,tier 2,0.0,87.6,15,87
SUP006,Q3-2023,tier 2,0.0,83.4,15,69
SUP006,Q4-2023,T2,0.0,82.6,15,86
SUP007,Q1-2022,tier-1,1.34,78.2,21,61
SUP007,Q2-2022,T1,6.71,80.9,21,73
SUP007,Q3-2022,Tier 1,0.93,86.2,21,78
SUP007,Q4-2022,Tier 1,1.23,86.9,21,99
SUP007,Q1-2023,tier-1,7.46,98.6,21,85
SUP007,Q2-2023,Tier 1,6.33,83.7,21,62
SUP007,Q3-2023,Tier 1,5.31,80.3,21,88
SUP007,Q4-2023,tier 1,3.39,89.6,21,93
SUP008,Q1-2022,tier-3,5.22,98.8,9,80
SUP008,Q2-2022,Tier 3,4.13,80.0,9,87
SUP008,Q3-2022,Tier 3,2.55,87.7,9,89
SUP008,Q4-2022,tier-3,0.41,92.1,9,90
SUP008,Q1-2023,Tier 3,6.66,95.2,9,74
SUP008,Q2-2023,Tier 3,2.57,93.7,9,88
SUP008,Q3-2023,Tier 3,7.14,81.0,9,92
SUP008,Q4-2023,tier-3,0.77,81.2,9,72
SUP009,Q4-2022,T1,6.2,78.7,15,73
SUP009,Q1-2023,tier 1,1.34,81.1,15,86
SUP009,Q2-2023,Tier 1,6.58,89.3,15,78
SUP009,Q3-2023,T1,3.16,93.5,15,92
SUP009,Q4-2023,Tier 1,6.02,88.6,15,81
SUP010,Q1-2022,Tier 3,2.94,82.6,20,85
SUP010,Q2-2022,T3,0.95,79.8,20,68
SUP010,Q3-2022,tier-3,1.4,95.3,20,62
SUP010,Q4-2022,tier-3,1.1,91.7,20,75
SUP010,Q1-2023,tier-3,3.14,96.4,20,98
SUP010,Q2-2023,tier-3,1.54,82.6,20,99
SUP010,Q3-2023,T3,2.31,93.4,20,60
SUP010,Q4-2023,T3,6.63,92.9,20,82
SUP011,Q2-2022,tier-1,3.89,83.5,14,61
SUP011,Q3-2022,T1,6.06,95.4,14,73
SUP011,Q4-2022,tier-1,2.17,89.0,14,82
SUP011,Q1-2023,tier 1,4.51,92.2,14,93
SUP011,Q3-2023,T1,7.16,91.6,14,62
SUP011,Q4-2023,tier-1,7.12,87.9,14,93
SUP012,Q1-2022,tier-2,0.48,82.5,14,78
SUP012,Q2-2022,Tier 2,5.44,82.5,14,83
SUP012,Q3-2022,Tier 2,1.66,86.9,14,80
SUP012,Q4-2022,tier 2,6.88,84.7,14,67
SUP012,Q1-2023,Tier 2,0.44,85.5,14,73
SUP012,Q2-2023,Tier 2,1.64,96.7,14,70
SUP012,Q3-2023,T2,0.8,80.3,14,62
SUP012,Q4-2023,tier-2,0.98,95.9,14,64
SUP013,Q1-2022,tier-1,4.21,98.9,24,90
SUP013,Q3-2022,Tier 1,2.59,97.9,24,63
SUP013,Q4-2022,T1,1.36,98.6,24,83
SUP013,Q1-2023,tier-1,3.95,98.4,24,98
SUP013,Q2-2023,tier-1,4.68,80.7,24,75
SUP013,Q3-2023,T1,1.55,80.2,24,91
SUP013,Q4-2023,tier 1,2.87,86.6,24,94
SUP014,Q1-2022,tier-3,7.41,97.6,13,77
SUP014,Q2-2022,T3,2.63,87.5,13,98
SUP014,Q3-2022,tier-3,5.27,89.6,13,82
SUP014,Q4-2022,tier-3,2.77,86.0,13,81
SUP014,Q1-2023,tier-3,5.78,86.2,13,63
SUP014,Q2-2023,Tier 3,4.5,93.9,13,81
SUP014,Q3-2023,tier-3,7.42,90.5,13,70
SUP014,Q4-2023,tier-3,0.42,97.9,13,93
SUP015,Q1-2022,Tier 2,4.63,78.1,12,84
SUP015,Q2-2022,T2,4.5,78.6,12,61
SUP015,Q3-2022,tier-2,6.82,88.4,12,68
SUP015,Q1-2023,Tier 2,2.65,96.5,12,78
SUP015,Q2-2023,Tier 2,4.52,83.7,12,86
SUP015,Q3-2023,T2,3.97,89.3,12,66
SUP015,Q4-2023,tier-2,7.71,96.0,12,94
SUP016,Q1-2022,T2,7.03,85.9,8,64
SUP016,Q2-2022,tier-2,3.85,89.9,8,64
SUP016,Q3-2022,T2,4.86,86.9,8,97
SUP016,Q4-2022,tier-2,0.95,94.7,8,74
SUP016,Q1-2023,tier 2,2.28,84.4,8,89
SUP016,Q3-2023,tier-2,3.71,92.5,8,94
SUP016,Q4-2023,Tier 2,5.35,85.9,8,91
SUP017,Q2-2022,tier 1,4.18,82.5,17,77
SUP017,Q3-2022,tier-1,2.75,80.0,17,65
SUP017,Q4-2022,Tier 1,3.24,95.0,17,76
SUP017,Q1-2023,Tier 1,5.21,96.3,17,98
SUP017,Q2-2023,tier-1,3.43,87.1,17,74
SUP017,Q3-2023,T1,7.95,98.1,17,61
SUP018,Q1-2022,T3,7.22,78.9,9,88
SUP018,Q2-2022,Tier 3,6.7,80.5,9,71
SUP018,Q3-2022,tier-3,1.25,89.2,9,62
SUP018,Q4-2022,T3,4.54,86.3,9,91
SUP018,Q2-2023,tier-3,2.49,82.0,9,77
SUP018,Q3-2023,tier-3,7.71,80.0,9,86
SUP018,Q4-2023,T3,6.64,98.5,9,94
SUP019,Q1-2022,Tier 3,1.02,94.7,17,93
SUP019,Q2-2022,Tier 3,4.35,96.9,17,68
SUP019,Q3-2022,Tier 3,3.86,87.6,17,98
SUP019,Q4-2022,tier-3,2.89,86.2,17,64
SUP019,Q2-2023,Tier 3,3.57,97.5,17,63
SUP019,Q3-2023,tier-3,0.28,81.3,17,94
SUP019,Q4-2023,Tier 3,1.75,88.8,17,68
SUP020,Q1-2022,T2,1.89,79.0,18,97
SUP020,Q2-2022,tier 2,0.51,82.1,18,65
SUP020,Q3-2022,T2,4.3,91.1,18,82
SUP020,Q4-2022,Tier 2,6.4,91.0,18,86
SUP020,Q1-2023,tier-2,2.78,79.9,18,94
SUP020,Q2-2023,tier-2,3.5,97.9,18,93
SUP020,Q3-2023,Tier 2,4.32,81.8,18,75
SUP020,Q4-2023,tier-2,5.23,92.1,18,66
SUP021,Q1-2022,T1,5.78,81.5,13,88
SUP021,Q2-2022,Tier 1,0.86,88.5,13,97
SUP021,Q3-2022,tier-1,4.07,87.2,13,71
SUP021,Q4-2022,tier 1,3.82,86.9,13,99
SUP021,Q2-2023,T1,1.82,91.4,13,84
SUP021,Q3-2023,T1,3.75,96.8,13,62
SUP021,Q4-2023,T1,0.48,95.3,13,88
SUP022,Q1-2022,tier 1,3.43,91.4,17,67
SUP022,Q2-2022,Tier 1,2.78,91.9,17,94
SUP022,Q3-2022,T1,7.68,85.8,17,83
SUP022,Q4-2022,tier-1,4.05,93.5,17,77
SUP022,Q1-2023,tier 1,1.72,93.6,17,73
SUP022,Q2-2023,T1,5.01,93.7,17,65
SUP022,Q3-2023,tier-1,2.18,80.3,17,63
SUP022,Q4-2023,T1,1.58,84.1,17,98
SUP023,Q1-2022,Tier 3,6.08,92.9,11,81
SUP023,Q2-2022,T3,2.86,88.0,11,92
SUP023,Q3-2022,Tier 3,2.47,80.7,11,65
SUP023,Q4-2022,T3,5.64,79.5,11,76
SUP023,Q1-2023,Tier 3,5.98,95.1,11,79
SUP023,Q2-2023,Tier 3,6.56,83.1,11,73
SUP023,Q3-2023,T3,3.74,86.2,11,74
SUP023,Q4-2023,T3,6.01,84.6,11,67
SUP024,Q1-2022,T2,3.51,84.4,10,94
SUP024,Q2-2022,T2,6.11,97.5,10,74
SUP024,Q3-2022,Tier 2,5.14,96.2,10,84
SUP024,Q4-2022,T2,7.12,97.1,10,99
SUP024,Q1-2023,tier 2,3.69,79.7,10,88
SUP024,Q2-2023,tier-2,3.95,86.6,10,60
SUP024,Q3-2023,tier-2,4.42,95.6,10,99
SUP024,Q4-2023,Tier 2,6.34,95.8,10,64
SUP025,Q1-2022,tier-2,7.12,84.6,20,99
SUP025,Q2-2022,tier 2,2.14,90.7,20,85
SUP025,Q3-2022,tier-2,4.46,84.2,20,97
SUP025,Q4-2022,Tier 2,1.56,79.2,20,85
SUP025,Q1-2023,Tier 2,6.67,92.3,20,97
SUP025,Q2-2023,tier-2,1.4,95.1,20,99
SUP025,Q3-2023,T2,1.12,92.2,20,70
SUP025,Q4-2023,tier-2,1.88,83.8,20,73
SUP026,Q1-2022,Tier 1,3.44,87.1,24,87
SUP026,Q2-2022,tier 1,6.17,85.9,24,70
SUP026,Q3-2022,tier-1,1.7,78.1,24,82
SUP026,Q4-2022,tier-1,0.31,82.4,24,82
SUP026,Q1-2023,tier 1,6.48,79.9,24,65
SUP026,Q2-2023,Tier 1,2.97,82.0,24,75
SUP026,Q3-2023,tier 1,3.28,88.1,24,89
SUP026,Q4-2023,T1,5.52,98.6,24,94
SUP027,Q1-2022,Tier 2,7.39,83.2,8,76
SUP027,Q2-2022,tier 2,6.04,80.1,8,76
SUP027,Q3-2022,Tier 2,1.48,87.7,8,78
SUP027,Q4-2022,T2,6.37,97.1,8,81
SUP027,Q1-2023,tier-2,2.19,83.3,8,92
SUP027,Q2-2023,tier 2,7.55,86.4,8,97
SUP027,Q3-2023,Tier 2,3.19,78.7,8,68
SUP027,Q4-2023,tier-2,5.11,94.4,8,66
SUP028,Q1-2022,T3,6.81,95.8,9,62
SUP028,Q3-2022,tier-3,2.45,91.0,9,69
SUP028,Q4-2022,Tier 3,1.03,94.4,9,66
SUP028,Q1-2023,tier-3,3.53,96.4,9,97
SUP028,Q2-2023,T3,5.96,95.2,9,66
SUP028,Q3-2023,tier-3,0.94,83.0,9,89
SUP028,Q4-2023,T3,4.04,90.2,9,94
SUP029,Q1-2022,T3,7.31,83.2,12,90
SUP029,Q2-2022,T3,4.18,82.0,12,89
SUP029,Q3-2022,T3,7.69,93.2,12,92
SUP029,Q4-2022,tier-3,2.82,91.4,12,96
SUP029,Q1-2023,T3,7.89,80.0,12,83
SUP029,Q2-2023,tier-3,2.27,94.5,12,76
SUP029,Q3-2023,Tier 3,7.84,96.6,12,91
SUP029,Q4-2023,Tier 3,2.69,90.7,12,72
SUP030,Q1-2022,tier 2,0.2,82.6,10,86
SUP030,Q2-2022,T2,4.51,88.4,10,78
SUP030,Q3-2022,tier-2,6.92,78.6,10,62
SUP030,Q4-2022,tier 2,7.56,79.1,10,74
SUP030,Q1-2023,Tier 2,6.93,93.7,10,89
SUP030,Q2-2023,tier-2,1.73,89.2,10,76
SUP030,Q3-2023,tier-2,1.85,78.6,10,91
SUP030,Q4-2023,T2,5.68,91.3,10,74
SUP031,Q1-2022,tier-2,3.81,87.4,19,62
SUP031,Q2-2022,tier 2,7.1,95.0,19,85
SUP031,Q3-2022,tier 2,4.63,81.0,19,70
SUP031,Q4-2022,tier 2,7.38,85.0,19,98
SUP031,Q1-2023,T2,1.69,79.9,19,67
SUP031,Q3-2023,tier 2,0.59,80.8,19,64
SUP031,Q4-2023,T2,4.64,94.3,19,61
SUP032,Q1-2022,Tier 3,5.11,89.0,17,97
SUP032,Q2-2022,T3,2.77,87.8,17,88
SUP032,Q3-2022,tier-3,6.37,83.5,17,76
SUP032,Q4-2022,tier-3,6.74,84.9,17,66
SUP032,Q1-2023,tier-3,6.85,79.6,17,95
SUP032,Q2-2023,tier-3,1.73,92.5,17,90
SUP032,Q3-2023,T3,2.36,89.9,17,69
SUP032,Q4-2023,Tier 3,4.97,90.8,17,71
SUP033,Q1-2022,tier-1,5.55,92.2,8,84
SUP033,Q2-2022,T1,0.59,87.4,8,62
SUP033,Q3-2022,T1,1.78,87.3,8,76
SUP033,Q4-2022,T1,1.9,95.4,8,78
SUP033,Q1-2023,Tier 1,3.78,88.5,8,81
SUP033,Q2-2023,Tier 1,7.42,88.3,8,98
SUP033,Q3-2023,T1,5.9,79.5,8,81
SUP033,Q4-2023,tier 1,3.85,97.4,8,73
SUP034,Q1-2022,Tier 3,7.7,87.5,14,83
SUP034,Q2-2022,T3,0.76,78.0,14,67
SUP034,Q3-2022,T3,6.15,93.4,14,88
SUP034,Q4-2022,tier-3,1.23,97.8,14,61
SUP034,Q1-2023,tier-3,5.01,84.9,14,75
SUP034,Q2-2023,Tier 3,6.08,82.8,14,85
SUP034,Q3-2023,tier-3,4.0,93.9,14,79
SUP034,Q4-2023,tier-3,1.79,84.0,14,93
SUP035,Q1-2022,tier 2,4.66,98.9,11,70
SUP035,Q2-2022,tier 2,4.21,91.4,11,88
SUP035,Q3-2022,T2,1.63,89.1,11,94
SUP035,Q4-2022,T2,2.43,87.2,11,69
SUP035,Q1-2023,Tier 2,7.25,94.8,11,99
SUP035,Q2-2023,Tier 2,2.57,89.5,11,63
SUP035,Q3-2023,tier 2,5.09,86.6,11,82
SUP035,Q4-2023,T2,2.67,84.9,11,81
SUP036,Q1-2022,tier 1,6.8,87.4,7,62
SUP036,Q2-2022,Tier 1,4.43,78.4,7,69
SUP036,Q3-2022,T1,1.42,91.8,7,95
SUP036,Q2-2023,Tier 1,0.17,95.8,7,71
SUP036,Q3-2023,tier 1,4.85,87.3,7,86
SUP037,Q1-2022,tier 1,7.14,78.2,13,81
SUP037,Q2-2022,tier-1,4.4,81.2,13,67
SUP037,Q3-2022,tier 1,5.28,93.2,13,67
SUP037,Q4-2022,tier 1,3.95,84.3,13,83
SUP037,Q1-2023,tier 1,2.88,82.7,13,89
SUP037,Q2-2023,T1,5.69,78.4,13,61
SUP037,Q3-2023,tier 1,5.15,90.8,13,85
SUP037,Q4-2023,tier 1,5.69,80.2,13,91
SUP038,Q1-2022,T2,1.96,78.9,22,79
SUP038,Q2-2022,tier-2,3.64,86.7,22,63
SUP038,Q3-2022,tier 2,7.41,82.2,22,67
SUP038,Q4-2022,T2,0.14,97.4,22,80
SUP038,Q2-2023,tier-2,7.76,97.0,22,98
SUP038,Q3-2023,tier 2,4.4,79.6,22,62
SUP038,Q4-2023,Tier 2,4.92,86.8,22,93
SUP039,Q1-2022,T3,5.92,79.6,17,82
SUP039,Q2-2022,Tier 3,6.79,87.9,17,88
SUP039,Q3-2022,T3,7.76,93.4,17,80
SUP039,Q4-2022,T3,1.4,82.6,17,89
SUP039,Q1-2023,T3,5.87,82.5,17,78
SUP039,Q2-2023,tier-3,3.03,95.9,17,91
SUP039,Q3-2023,Tier 3,7.41,83.4,17,69
SUP039,Q4-2023,Tier 3,7.9,81.2,17,78
SUP040,Q1-2022,T1,2.72,79.5,6,76
SUP040,Q2-2022,tier 1,2.28,85.0,6,79
SUP040,Q3-2022,T1,4.16,95.7,6,61
SUP040,Q4-2022,T1,5.21,80.4,6,77
SUP040,Q1-2023,Tier 1,3.91,81.0,6,70
SUP040,Q2-2023,tier 1,0.38,84.0,6,66
SUP040,Q3-2023,tier 1,3.53,86.7,6,81
SUP040,Q4-2023,tier-1,0.26,90.9,6,80
SUP041,Q1-2022,T3,0.87,78.3,11,74
SUP041,Q2-2022,T3,3.65,86.3,11,90
SUP041,Q3-2022,Tier 3,4.24,90.5,11,92
SUP041,Q1-2023,Tier 3,2.76,86.8,11,89
SUP041,Q2-2023,T3,7.54,78.5,11,64
SUP041,Q3-2023,T3,6.11,84.0,11,90
SUP041,Q4-2023,tier-3,7.43,98.6,11,91
SUP042,Q1-2022,Tier 3,4.38,81.1,19,61
SUP042,Q2-2022,tier-3,7.9,78.3,19,63
SUP042,Q3-2022,T3,2.59,88.1,19,78
SUP042,Q4-2022,T3,3.8,80.7,19,68
SUP042,Q1-2023,Tier 3,2.13,88.6,19,62
SUP042,Q2-2023,T3,3.39,97.5,19,89
SUP042,Q3-2023,T3,2.07,88.6,19,80
SUP042,Q4-2023,T3,3.59,83.9,19,76
SUP043,Q1-2022,T2,4.25,98.5,22,69
SUP043,Q2-2022,tier 2,0.25,86.2,22,67
SUP043,Q3-2022,T2,5.44,81.8,22,80
SUP043,Q4-2022,tier-2,2.84,85.3,22,86
SUP043,Q1-2023,tier 2,3.73,85.6,22,64
SUP043,Q2-2023,tier 2,1.71,96.9,22,94
SUP043,Q3-2023,Tier 2,0.31,88.4,22,82
SUP043,Q4-2023,tier 2,5.98,80.7,22,64
SUP044,Q1-2022,tier 2,4.85,92.9,10,92
SUP044,Q2-2022,T2,7.94,85.2,10,81
SUP044,Q3-2022,tier 2,4.27,81.7,10,66
SUP044,Q4-2022,T2,0.11,97.5,10,84
SUP044,Q2-2023,Tier 2,1.92,83.8,10,70
SUP044,Q4-2023,tier 2,1.54,86.0,10,76
SUP045,Q1-2022,tier-3,2.62,79.9,12,84
SUP045,Q2-2022,tier-3,6.05,98.8,12,61
SUP045,Q3-2022,Tier 3,4.03,89.2,12,97
SUP045,Q4-2022,Tier 3,6.12,95.7,12,72
SUP045,Q1-2023,tier-3,3.47,94.1,12,88
SUP045,Q2-2023,T3,7.43,80.0,12,92
SUP045,Q3-2023,Tier 3,6.16,80.0,12,71
SUP046,Q1-2022,T2,6.39,90.7,18,80
SUP046,Q2-2022,Tier 2,2.21,86.7,18,94
SUP046,Q4-2022,tier-2,2.12,86.2,18,94
SUP046,Q1-2023,tier 2,2.16,96.8,18,77
SUP046,Q2-2023,tier-2,2.62,88.6,18,62
SUP046,Q3-2023,T2,4.02,81.2,18,76
SUP046,Q4-2023,tier 2,4.53,86.7,18,79
SUP047,Q1-2022,tier-2,7.76,94.5,21,79
SUP047,Q2-2022,tier 2,1.14,89.1,21,98
SUP047,Q3-2022,tier-2,6.55,90.3,21,72
SUP047,Q4-2022,tier 2,0.92,89.8,21,70
SUP047,Q1-2023,tier-2,0.47,90.6,21,67
SUP047,Q3-2023,Tier 2,2.07,91.9,21,92
SUP047,Q4-2023,tier 2,7.5,96.8,21,70
SUP048,Q1-2022,Tier 1,4.7,93.1,8,79
SUP048,Q2-2022,tier-1,0.83,99.0,8,77
SUP048,Q3-2022,T1,6.98,88.1,8,90
SUP048,Q4-2022,Tier 1,0.91,97.5,8,96
SUP048,Q1-2023,Tier 1,2.52,85.5,8,87
SUP048,Q2-2023,Tier 1,1.52,96.9,8,78
SUP048,Q3-2023,T1,5.64,79.4,8,83
SUP048,Q4-2023,T1,2.71,91.8,8,61
SUP049,Q1-2022,T1,5.99,96.4,13,63
SUP049,Q2-2022,T1,2.56,85.7,13,94
SUP049,Q3-2022,T1,0.49,85.7,13,81
SUP049,Q4-2022,tier 1,3.09,82.1,13,87
SUP049,Q1-2023,Tier 1,3.11,85.3,13,70
SUP049,Q2-2023,T1,6.17,86.0,13,71
SUP049,Q3-2023,tier 1,4.18,97.1,13,83
SUP049,Q4-2023,tier-1,0.47,87.0,13,99
SUP050,Q1-2022,T2,3.67,79.9,18,77
SUP050,Q2-2022,Tier 2,6.01,88.7,18,82
SUP050,Q3-2022,T2,6.95,91.2,18,97
